id_municipio,nome_municipio,latitude,longitude,ano,sigla_uf,bioma,data_hora,Precipitação Total < 10mm,Pressão Atmosférica entre 1015 e 1020 hPa,Temperatura Bulbo seco ACIMA DE 30°C,Temperatura Pt Orvalho abaixo de 10°C,Vento com velocidade maior que 30Km/h,Rajada max > 10 m/s,Umidade relativa do ar < 30%,Radiação Solar acima de  4 kWh/m²,Fogo
3502002,Analândia,-22152.0,-47687.0,2016,SP,Cerrado,10/9/2016 17:06,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22133.0,-47749.0,2020,SP,Cerrado,4/8/2020 16:35,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22.15365,-47.55408,2022,SP,Cerrado,7/25/2022 17:17,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22164.0,-47679.0,2005,SP,Cerrado,8/10/2005 16:51,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22116.0,-47667.0,2005,SP,Cerrado,8/23/2005 16:20,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22151.0,-47646.0,2010,SP,Cerrado,10/22/2010 16:37,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22165.0,-47662.0,2010,SP,Cerrado,10/22/2010 16:37,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22153.0,-47747.0,2010,SP,Cerrado,12/30/2010 16:55,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22138.0,-47777.0,2011,SP,Cerrado,7/26/2011 16:54,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22101.0,-47619.0,2013,SP,Cerrado,7/17/2013 16:43,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22152.0,-47753.0,2007,SP,Cerrado,6/20/2007 17:01,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22143.0,-47754.0,2008,SP,Cerrado,9/17/2008 17:09,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22083.0,-47744.0,2010,SP,Cerrado,9/23/2010 17:07,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22093.0,-47628.0,2013,SP,Cerrado,6/11/2013 17:07,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22098.0,-47636.0,2013,SP,Cerrado,4/21/2013 16:37,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22127.0,-47748.0,2019,SP,Cerrado,4/22/2019 16:35,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22122.0,-47745.0,2019,SP,Cerrado,4/18/2019 17:00,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22145.0,-47747.0,2008,SP,Cerrado,5/21/2008 17:01,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22159.0,-47.74,2011,SP,Cerrado,1/29/2011 17:07,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22162.0,-47654.0,2016,SP,Cerrado,8/26/2016 16:42,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22144.0,-47764.0,2008,SP,Cerrado,9/17/2008 17:09,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22064.0,-47729.0,2011,SP,Cerrado,8/16/2011 17:13,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22168.0,-47751.0,2011,SP,Cerrado,1/24/2011 16:49,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22086.0,-47619.0,2013,SP,Cerrado,4/20/2013 17:32,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22157.0,-47682.0,2017,SP,Cerrado,7/29/2017 17:25,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22113.0,-47746.0,2019,SP,Cerrado,6/5/2019 17:00,1,1,1,1,1,1,1,1,1
