id_municipio	nome_municipio	latitude	longitude	ano	sigla_uf	bioma	data_hora
3502002	Analândia	22.1570	47.6820	2017	SP	Cerrado	7/29/2017 17:25
3502002	Analândia	22.1130	47.7460	2019	SP	Cerrado	6/5/2019 17:00
3502002	Analândia	22.1630	47.7010	2003	SP	Cerrado	10/17/2003 16:45
3502002	Analândia	22.1630	47.6690	2005	SP	Cerrado	8/10/2005 16:51
3502002	Analândia	22.0960	47.7810	2005	SP	Cerrado	8/12/2005 16:39
3502002	Analândia	22.1430	47.7620	2008	SP	Cerrado	5/27/2008 16:24
3502002	Analândia	22.1540	47.6740	2008	SP	Cerrado	6/11/2008 17:20
3502002	Analândia	22.1490	47.7180	2011	SP	Cerrado	2/9/2011 16:49
3502002	Analândia	22.1070	47.6040	2011	SP	Cerrado	9/5/2011 16:48
3502002	Analândia	22.1450	47.6470	2012	SP	Cerrado	7/1/2012 17:13
3502002	Analândia	22.1510	47.5620	2014	SP	Cerrado	6/25/2014 16:49
3502002	Analândia	22.1540	47.5550	2014	SP	Cerrado	6/25/2014 16:49
3502002	Analândia	22.0770	47.6190	2016	SP	Cerrado	8/19/2016 16:36
3502002	Analândia	22.1320	47.7540	2020	SP	Cerrado	4/6/2020 16:45
3502002	Analândia	22.1580	47.6390	2010	SP	Cerrado	10/22/2010 16:37
3502002	Analândia	22.0960	47.6190	2013	SP	Cerrado	4/21/2013 16:37
3502002	Analândia	22.0760	47.65	2013	SP	Cerrado	8/1/2013 17:38
3502002	Analândia	22.1120	47.7360	2019	SP	Cerrado	6/5/2019 17:00
3502002	Analândia	22.1310	47.7240	2019	SP	Cerrado	8/31/2019 17:05
3502002	Analândia	22.2320	47.7150	2020	SP	Cerrado	11/7/2020 16:55
3502002	Analândia	22.1290	47.7630	2020	SP	Cerrado	4/17/2020 16:30
3502002	Analândia	22.1330	47.7650	2020	SP	Cerrado	4/6/2020 16:45
3502002	Analândia	22.1390	47.7330	2006	SP	Cerrado	4/20/2006 16:22
3502002	Analândia	22.1520	47.6650	2008	SP	Cerrado	6/11/2008 17:20
3502002	Analândia	22.1580	47.7160	2011	SP	Cerrado	2/9/2011 16:49
3502002	Analândia	22.1410	47.76	2011	SP	Cerrado	1/28/2011 16:25
3502002	Analândia	22.1660	47.6820	2012	SP	Cerrado	5/18/2012 16:49
3502002	Analândia	22.0870	47.6120	2013	SP	Cerrado	7/29/2013 17:07
3502002	Analândia	22.0860	47.63	2016	SP	Cerrado	8/11/2016 17:25
3502002	Analândia	22.1220	47.7460	2019	SP	Cerrado	6/7/2019 16:45
3502002	Analândia	22.1350	47.7670	2020	SP	Cerrado	4/8/2020 16:35
3502002	Analândia	22.1040	47.7760	2005	SP	Cerrado	8/10/2005 16:51
3502002	Analândia	22.1440	47.6640	2005	SP	Cerrado	8/6/2005 17:15
3502002	Analândia	22.1380	47.7520	2006	SP	Cerrado	7/19/2006 17:00
3502002	Analândia	22.1220	47.6470	2006	SP	Cerrado	7/8/2006 17:18
3502002	Analândia	22.1040	47.6930	2007	SP	Cerrado	6/11/2007 17:07
3502002	Analândia	22.1460	47.7530	2009	SP	Cerrado	10/24/2009 16:58
3502002	Analândia	22.1410	47.5640	2010	SP	Cerrado	5/31/2010 16:38
3502002	Analândia	22.16	47.6560	2010	SP	Cerrado	10/22/2010 16:37
3502002	Analândia	22.1610	47.7540	2010	SP	Cerrado	12/21/2010 17:01
3502002	Analândia	22.1060	47.5930	2011	SP	Cerrado	9/5/2011 16:48
3502002	Analândia	22.14	47.7530	2011	SP	Cerrado	1/28/2011 16:25
3502002	Analândia	22.1150	47.5920	2011	SP	Cerrado	9/5/2011 16:48
3502002	Analândia	22.1320	47.6610	2016	SP	Cerrado	9/29/2016 16:30
3502002	Analândia	22.1230	47.7550	2019	SP	Cerrado	4/18/2019 17:00
3502002	Analândia	22.1680	47.6980	2020	SP	Cerrado	8/14/2020 16:35
3502002	Analândia	22.1	47.5750	2006	SP	Cerrado	9/15/2006 17:37
3502002	Analândia	22.1620	47.7450	2010	SP	Cerrado	12/30/2010 16:55
3502002	Analândia	22.1270	47.6050	2011	SP	Cerrado	9/28/2011 16:54
3502002	Analândia	22.0890	47.5930	2011	SP	Cerrado	9/30/2011 16:42
3502002	Analândia	22.0830	47.6440	2013	SP	Cerrado	8/2/2013 16:43
3502002	Analândia	22.0750	47.6020	2016	SP	Cerrado	8/19/2016 16:36
3502002	Analândia	22.1610	47.7020	2017	SP	Cerrado	7/29/2017 17:25
3502002	Analândia	22.1370	47.7240	2006	SP	Cerrado	4/19/2006 17:17
3502002	Analândia	22.1630	47.6450	2010	SP	Cerrado	10/22/2010 16:37
3502002	Analândia	22.0860	47.6210	2013	SP	Cerrado	5/3/2013 17:02
3502002	Analândia	22.0880	47.6310	2013	SP	Cerrado	5/3/2013 17:02
3502002	Analândia	22.0820	47.61	2016	SP	Cerrado	8/11/2016 17:25
3502002	Analândia	22.1230	47.7530	2019	SP	Cerrado	4/11/2019 16:55
3502002	Analândia	22.1162	47.64962	2022	SP	Cerrado	6/27/2022 16:58
3502002	Analândia	22.1140	47.6630	2005	SP	Cerrado	8/23/2005 16:20
3502002	Analândia	22.1050	47.7860	2005	SP	Cerrado	8/10/2005 16:51
3502002	Analândia	22.1530	47.5620	2010	SP	Cerrado	5/31/2010 16:38
3502002	Analândia	22.1470	47.7510	2011	SP	Cerrado	2/6/2011 16:18
3502002	Analândia	22.1160	47.7620	2019	SP	Cerrado	5/14/2019 17:35
3502002	Analândia	22.1210	47.7430	2019	SP	Cerrado	4/11/2019 16:55
3502002	Analândia	22.1010	47.6260	2006	SP	Cerrado	9/21/2006 17:01
3502002	Analândia	22.1560	47.68	2006	SP	Cerrado	9/14/2006 16:55
3502002	Analândia	22.1630	47.6970	2006	SP	Cerrado	8/17/2006 16:30
3502002	Analândia	22.1620	47.7380	2008	SP	Cerrado	9/19/2008 16:56
3502002	Analândia	22.1170	47.6030	2011	SP	Cerrado	9/5/2011 16:48
3502002	Analândia	22.1390	47.6040	2016	SP	Cerrado	4/18/2016 16:56
3502002	Analândia	22.1140	47.7480	2019	SP	Cerrado	5/9/2019 17:15
3503208	Araraquara	21.9170	48.1060	2003	SP	Cerrado	5/17/2003 16:52
3503208	Araraquara	21.7960	48.1190	2003	SP	Cerrado	7/6/2003 16:39
3503208	Araraquara	21.8670	48.2080	2004	SP	Cerrado	7/15/2004 16:47
3503208	Araraquara	21.7930	48.2660	2005	SP	Cerrado	8/3/2005 16:45
3503208	Araraquara	21.8820	48.1360	2006	SP	Cerrado	8/14/2006 17:37
3503208	Araraquara	21.7820	48.24	2006	SP	Cerrado	6/1/2006 16:59
3503208	Araraquara	21.7120	48.2470	2006	SP	Cerrado	8/16/2006 17:25
3503208	Araraquara	21.8510	48.3310	2006	SP	Cerrado	6/1/2006 16:59
3503208	Araraquara	21.8530	48.1810	2006	SP	Cerrado	5/2/2006 16:46
3503208	Araraquara	21.8440	48.2150	2007	SP	Cerrado	10/20/2007 17:37
3503208	Araraquara	21.9210	48.22	2008	SP	Cerrado	12/3/2008 16:39
3503208	Araraquara	21.7650	48.1180	2008	SP	Cerrado	7/21/2008 16:31
3503208	Araraquara	21.8430	48.2660	2008	SP	Cerrado	8/15/2008 16:25
3503208	Araraquara	21.8470	48.2650	2009	SP	Cerrado	3/5/2009 17:06
3503208	Araraquara	21.5650	48.2420	2010	SP	Cerrado	8/13/2010 17:14
